,Town,District,Division,Region,State,Town Type,Transport Name,Party Count
85,Mangliya,Indore,Indore,Malwa Region,Madhya Pradesh,Municipal Corporation,,1.0
86,Meghnagar,Jhabua,Indore,Malwa Region,Madhya Pradesh,Nagar Panchayat,,1.0
87,Mhow,Indore,Indore,Malwa Region,Madhya Pradesh,Cantonment,,2.0
88,Morena,Morena,Chambal,Gwalior-Chambal Region,Madhya Pradesh,Municipality,,5.0
89,Nagda,Ujjain,Ujjain,Malwa Region,Madhya Pradesh,Nagar Palika,,2.0
90,Nalkheda,Agar Malwa,Ujjain,Malwa Region,Madhya Pradesh,Nagar Palika Parishad,,1.0
91,Narmadapuram,Narmadapuram,Narmadapuram,Narmadapuram Region,Madhya Pradesh,Nagar Palika,,3.0
92,Narsinghpur,Narsinghpur,Jabalpur,Mahakaushal Region,Madhya Pradesh,,,2.0
93,Neemuch,Neemuch,Ujjain,Malwa Region,Madhya Pradesh,Municipality,,2.0
94,Ozhar,Barwani,Indore,Nimar Region,Madhya Pradesh,Nagar Panchayat,,1.0
95,Pachore,Rajgarh,Bhopal,Bhopal Region,Madhya Pradesh,Nagar Panchayat,,3.0
96,Panagar,Jabalpur,Jabalpur,Mahakaushal Region,Madhya Pradesh,Municipality,,1.0
97,Pandhurna,Chhindwara,Jabalpur,Mahakaushal Region,Madhya Pradesh,Municipality,,1.0
98,Pandhurna,Pandhurna,Jabalpur,Mahakaushal Region,Madhya Pradesh,Municipality,,1.0
99,Parasia,Chhindwara,Jabalpur,Mahakaushal Region,Madhya Pradesh,Municipality,,1.0
100,Parasia,Chhindwara,Jabalpur,Mahakaushal Region,Madhya Pradesh,,,1.0
101,Pipariya,Jabalpur,Jabalpur,Mahakaushal Region,Madhya Pradesh,Census Town,,1.0
102,Pipariya,Narmadapuram,Narmadapuram,Narmadapuram Region,Madhya Pradesh,Nagar Palika,,1.0
103,Pipliya Mandi,Mandsaur,Ujjain,Malwa Region,Madhya Pradesh,Nagar Parishad,,1.0
104,Porsa,Morena,Chambal,Gwalior-Chambal Region,Madhya Pradesh,Municipality,,1.0
105,RAIPUR,,,,,,,1.0
106,Raisen,Raisen,Bhopal,Bhopal Region,Madhya Pradesh,Municipality,,1.0
107,Rajgarh,Rajgarh,Bhopal,Bhopal Region,Madhya Pradesh,Municipality,,1.0
108,Rajpur,Barwani,Indore,Nimar Region,Madhya Pradesh,Nagar Panchayat,,1.0
109,Ratlam,Ratlam,Ujjain,Malwa Region,Madhya Pradesh,Municipal Corporation,,6.0
110,Rewa,Rewa,Rewa,Baghelkhand Region,Madhya Pradesh,,,6.0
111,Sabalgarh,Morena,Chambal,Gwalior-Chambal Region,Madhya Pradesh,Municipality,,2.0
112,Sagar,Sagar,Sagar,Bundelkhand Region,Madhya Pradesh,,,6.0
113,Sanawad,Khargone,Indore,Nimar Region,Madhya Pradesh,Municipality,,2.0
114,Sanwer,Indore,Indore,Malwa Region,Madhya Pradesh,Nagar Panchayat,,1.0
115,Sarangpur,Rajgarh,Bhopal,Bhopal Region,Madhya Pradesh,Municipality,,2.0
116,Satna,Satna,Rewa,Baghelkhand Region,Madhya Pradesh,,,7.0
117,Sehore,Sehore,Bhopal,Bhopal Region,Madhya Pradesh,Municipality,,2.0
118,Sendhwa,Barwani,Indore,Nimar Region,Madhya Pradesh,Municipality,,4.0
119,Seondha,Datia,Gwalior,Bundelkhand Region,Madhya Pradesh,Nagar Panchayat,,1.0
120,Seoni,Seoni,Jabalpur,Mahakaushal Region,Madhya Pradesh,,,3.0
121,Shahdol,Shahdol,Shahdol,Baghelkhand Region,Madhya Pradesh,,,3.0
122,Shahpur,Betul,Narmadapuram,Narmadapuram Region,Madhya Pradesh,Nagar Parishad,,1.0
123,Shahpur,Burhanpur,Indore,Nimar Region,Madhya Pradesh,Nagar Panchayat,,1.0
124,Shajapur,Shajapur,Ujjain,Malwa Region,Madhya Pradesh,Municipality,,2.0
125,Shamgargh,Mandsaur,Ujjain,Malwa Region,Madhya Pradesh,Nagar Parishad,,2.0
126,Sheopur,Sheopur,Chambal,Gwalior-Chambal Region,Madhya Pradesh,Municipality,,3.0
127,Shivpuri,Shivpuri,Gwalior,Gwalior-Chambal Region,Madhya Pradesh,Municipality,,1.0
128,Shujalpur,Shajapur,Ujjain,Malwa Region,Madhya Pradesh,Municipality,,2.0
129,Sidhi,Sidhi,Rewa,Baghelkhand Region,Madhya Pradesh,,,1.0
130,Sihora,Jabalpur,Jabalpur,Mahakaushal Region,Madhya Pradesh,Municipality,,1.0
131,Singrauli,Singrauli,Rewa,Baghelkhand Region,Madhya Pradesh,,,2.0
132,Sironj,Vidisha,Bhopal,Bhopal Region,Madhya Pradesh,Municipality,,1.0
133,Sitamau,Mandsaur,Ujjain,Malwa Region,Madhya Pradesh,Nagar Parishad,,1.0
134,Sonkatch,Dewas,Ujjain,Malwa Region,Madhya Pradesh,Urban Local Body,,1.0
135,Tarana,Ujjain,Ujjain,Malwa Region,Madhya Pradesh,Nagar Parishad,,1.0
136,Thandla,Jhabua,Indore,Malwa Region,Madhya Pradesh,Nagar Panchayat,,1.0
137,Tikamgarh,Tikamgarh,Sagar,Bundelkhand Region,Madhya Pradesh,,,2.0
138,Timarni,Harda,Narmadapuram,Narmadapuram Region,Madhya Pradesh,Nagar Parishad,,1.0
139,Ujjain,Ujjain,Ujjain,Malwa Region,Madhya Pradesh,Municipal Corporation,,12.0
140,Vidisha,Vidisha,Bhopal,Bhopal Region,Madhya Pradesh,Municipality,,1.0
141,Mumbai,Mumbai,Mumbai,Mumbai,Maharashtra,Metropolitan,,5.0
